auteur titre
 Victor Rousseau  The Atom-Smasher
 Captain S. P. Meek  The Cave Of Horror
 Ray Cummings  Brigands of the Moon (Part 4 of 4)
 M. L. Staley  The Stolen Mind
 C. V. Tench  Compensation
 Murray Leinster  Murder Madness (Part 3 of 4)
 Anthony Pelcher  Vampires of Venus
 Harl Vincent  The Terror of Air-Level Six
 Charles Willard Diffin  The Power and the Glory
 Hugh B. Cave  The Corpse on the Grating
 Sophie Wenzel Ellis  Creatures of the Light
 S. P. Meek  Beyond the Heaviside Layer
 Will Smith and R. J. Robbins  The Soul Master
 Sewell Peaslee Wright  The Forgotten Planet
 A. T. Locke  Vandals of the Stars
 Thomas H. Knight  The Man Who Was Dead
 Arthur J. Burks  Earth, the Marauder (Part 1 of 3)
 Tom Curry  From an Amber Block
 Lilith Lorraine  The Jovian Jest
 James P. Olsen  The Cavern World
